,origIntRate,origUPB,origLTV,origDebtIncRatio,worstCreditScore,zeroBalCode,mSA
92767,4.0,143000,46,25,805,0,35620
92768,4.0,88000,66,40,807,0,22020
92769,4.25,304000,80,23,716,0,16980
92770,4.25,136000,80,44,778,0,37980
92771,3.875,100000,60,37,774,0,37860
92772,4.875,398000,75,33,664,0,16980
92773,4.375,332000,80,21,777,0,31080
92774,4.5,275000,92,39,759,0,35620
92775,4.375,221000,78,25,752,0,16700
92776,4.0,225000,90,39,759,0,16980
92777,4.125,332000,65,40,722,0,17460
92778,4.875,185000,65,32,655,0,35620
92779,4.125,470000,47,29,737,0,12580
92780,3.875,184000,79,39,737,0,38900
92781,4.875,250000,75,43,671,0,28140
92782,4.5,273000,95,39,775,0,28420
92784,4.125,92000,80,29,751,0,13820
92785,4.0,302000,79,18,792,0,33340
92786,4.0,107000,43,26,689,0,10580
92788,4.0,400000,90,20,790,0,28140
92789,4.25,320000,80,23,792,0,26300
92790,4.0,84000,73,35,762,0,41620
92791,3.75,240000,48,40,803,0,31540
92792,4.25,69000,80,18,713,0,0
92793,4.25,466000,79,26,788,0,41740
92794,4.0,303000,64,44,753,0,12580
92795,4.5,168000,45,41,659,0,36420
92796,4.375,128000,90,45,766,1,21780
92797,4.25,396000,67,33,772,0,20500
92799,5.25,113000,89,20,733,0,48620
92800,3.875,238000,80,30,743,0,12940
92801,4.125,400000,77,42,777,0,40140
92802,3.875,173000,77,30,784,0,41180
92803,4.375,416000,80,45,727,0,37980
92806,4.375,114000,80,32,783,0,49180
92807,3.875,400000,68,47,751,0,35620
92808,4.375,307000,56,9,818,0,31080
92809,4.375,131000,59,25,734,0,24860
92810,4.25,114000,55,33,674,0,0
92811,4.0,299000,78,43,763,0,12940
92812,3.875,160000,48,44,648,0,31080
92813,4.875,156000,75,45,696,0,21340
92814,4.25,395000,61,31,714,0,35620
92815,3.875,399000,70,27,733,0,40140
92817,3.875,115000,59,35,688,0,0
92818,4.25,129000,57,21,641,0,38300
92819,4.5,145000,67,41,705,0,12940
92820,4.375,130000,57,43,706,0,39580
92821,5.0,127000,73,31,664,0,28020
92822,4.375,215000,43,12,782,0,38900
92823,4.5,332000,80,36,717,1,35620
92824,3.875,300000,75,44,806,0,31080
92825,4.25,238000,69,32,660,0,0
92826,3.99,100000,39,41,725,0,25540
92827,4.25,172000,94,45,740,0,31180
92828,4.125,397000,73,27,748,0,41740
92829,4.125,417000,76,36,756,0,31100
92830,4.875,25000,33,32,658,0,36540
92831,4.125,180000,75,12,769,0,31420
92832,4.375,288000,80,45,713,0,0
92833,3.973,314000,74,42,736,0,31080
92834,4.875,44000,75,33,744,0,37980
92835,4.375,58000,80,44,716,0,37340
92836,4.0,417000,72,44,756,0,24340
92837,3.875,232000,75,28,811,0,0
92838,3.875,173000,71,25,769,0,42660
92839,3.99,158000,70,37,703,0,12580
92840,4.375,305000,80,41,689,0,21660
92841,4.25,208000,76,38,755,0,33340
92842,4.25,417000,75,37,699,0,42100
