,Unnamed: 0,origIntRate,origUPB,origLTV,origDebtIncRatio,worstCreditScore,zeroBalCode,mSA,Label,Score
377,92544,4.75,266000,90,41,735,0,45060,0,0.085
378,92545,4.25,211000,80,41,725,1,28940,0,0.0554
379,92546,3.875,84000,80,20,818,0,38220,0,0.0779
380,92547,3.875,183000,42,43,761,0,31080,0,0.0063
381,92548,4.0,345000,70,28,758,0,19340,0,0.0067
382,92549,5.625,136000,80,43,666,1,16980,0,0.1775
383,92550,4.0,150000,69,31,768,0,0,0,0.0329
384,92551,4.0,145000,55,40,759,0,0,0,0.0186
385,92552,4.0,185000,74,37,753,0,31140,0,0.039
386,92553,4.25,383000,43,44,664,0,41940,0,0.0014
387,92554,4.49,90000,70,39,665,0,0,0,0.0756
388,92555,4.25,91000,48,42,676,0,38340,0,0.0198
389,92556,4.5,92000,77,27,813,0,19340,0,0.1002
390,92557,4.125,144000,37,18,726,0,28140,0,0.0033
391,92558,4.375,149000,85,33,738,0,45460,0,0.1026
392,92559,5.5,107000,65,36,652,0,19100,0,0.0742
393,92560,4.5,172000,80,44,734,0,37980,0,0.0923
394,92561,4.375,115000,75,30,734,0,42540,0,0.0686
395,92562,3.875,323000,49,33,776,0,44140,0,0.0024
396,92563,4.25,260000,80,43,749,0,14460,0,0.0417
397,92564,4.5,70000,36,31,623,0,0,0,0.0086
398,92565,3.875,417000,60,26,730,0,16980,0,0.0017
399,92566,3.875,417000,70,13,685,0,0,0,0.002
400,92567,4.375,178000,96,23,793,0,33340,0,0.1276
401,92568,4.5,72000,58,20,792,0,30620,0,0.0307
402,92569,3.875,328000,80,18,776,0,41860,0,0.0103
403,92570,4.375,71000,32,43,687,0,39740,0,0.0097
404,92571,3.875,204000,80,27,769,0,19740,0,0.035
405,92572,4.625,267000,85,45,682,0,41740,0,0.0612
406,92573,4.125,50000,15,26,809,0,12020,0,0.0026
407,92574,4.25,204000,80,44,733,0,37980,0,0.0642
408,92575,4.0,313000,80,29,778,0,41620,0,0.017
409,92576,4.125,224000,60,39,649,0,14460,0,0.0118
410,92577,3.99,164000,73,27,787,0,0,0,0.0343
411,92578,3.99,170000,48,35,724,0,35620,0,0.0081
412,92579,4.0,327000,73,41,740,0,39820,0,0.0131
413,92581,4.25,105000,73,20,766,0,37980,0,0.0493
414,92582,4.25,595000,80,41,713,0,35620,0,0.0026
415,92583,4.875,107000,67,34,695,0,41180,0,0.0617
416,92584,5.75,184000,79,22,656,0,0,0,0.0728
417,92585,4.625,40000,10,13,822,0,12580,0,0.0019
418,92586,4.5,126000,80,45,690,0,19100,0,0.1241
419,92587,4.25,188000,79,42,738,0,39300,0,0.0653
420,92588,3.875,196000,51,44,697,0,41180,0,0.0092
421,92589,4.375,249000,67,42,690,0,31080,0,0.0196
422,92590,4.0,147000,72,45,710,0,29540,0,0.0544
423,92591,4.5,142000,79,41,702,0,25860,0,0.096
424,92592,4.75,78000,60,43,660,0,19100,0,0.0583
425,92593,4.375,119000,70,29,762,0,27900,0,0.0503
426,92594,4.25,155000,47,23,756,0,41860,0,0.0073
427,92595,4.375,174000,85,40,757,1,37980,0,0.1056
428,92596,4.375,400000,25,34,624,0,35620,0,0.0003
429,92597,3.875,408000,45,41,756,0,42060,0,0.0012
430,92598,3.75,115000,79,31,733,0,24540,0,0.0651
431,92599,3.875,413000,70,49,755,0,41740,0,0.0066
432,92600,4.25,497000,74,36,718,0,46520,0,0.0034
433,92601,4.25,85000,70,45,730,0,13820,0,0.09
434,92602,4.5,87000,80,23,762,1,12580,0,0.103
435,92603,4.375,154000,74,32,663,0,12940,0,0.0456
436,92605,4.375,319000,71,44,682,0,31140,0,0.015
437,92606,4.25,255000,58,41,709,0,33460,0,0.0101
438,92608,4.125,106000,80,42,793,0,41180,0,0.1283
439,92609,4.625,156000,80,23,699,0,16980,0,0.0598
440,92610,4.25,61000,51,32,714,0,30340,0,0.024
441,92611,4.25,280000,75,39,754,0,35620,0,0.0237
442,92612,4.125,83000,48,23,773,0,0,0,0.0133
443,92613,4.125,124000,56,3,764,0,46060,0,0.0087
444,92615,4.0,416000,75,38,751,0,31080,0,0.0068
445,92616,3.875,255000,78,14,793,0,40900,0,0.0149
446,92617,4.125,264000,75,45,743,0,31100,0,0.0294
447,92618,4.375,155000,61,23,663,0,47900,0,0.016
448,92619,3.99,100000,20,34,686,0,37980,0,0.0023
449,92620,4.5,154000,80,44,769,0,37980,0,0.1106
